Version,Commit Message,SATD
1.0.0.rc1,TODO: Find a better way to check for sparse gradients.,1
1.0.0.rc1,hack to dodge unpicklable `dict_keys`,1
0.9.2,hack to dodge unpicklable `dict_keys`,1
0.9.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.9.2,hack for python2/3 compatibility,1
0.9.2,hack for python2/3 compatibility,1
0.9.2,why is the model_opt.__dict__ check necessary?,1
0.9.2,TODO: fix for pytorch 0.3,1
0.9.2,TODO: context gate should be employed,1
0.9.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.2,TODO: Find a better way to check for sparse gradients.,1
0.9.1,hack to dodge unpicklable `dict_keys`,1
0.9.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.9.1,hack for python2/3 compatibility,1
0.9.1,hack for python2/3 compatibility,1
0.9.1,why is the model_opt.__dict__ check necessary?,1
0.9.1,TODO: fix for pytorch 0.3,1
0.9.1,TODO: context gate should be employed,1
0.9.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.1,TODO: Find a better way to check for sparse gradients.,1
0.9.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.9.0,hack for python2/3 compatibility,1
0.9.0,hack for python2/3 compatibility,1
0.9.0,why is the model_opt.__dict__ check necessary?,1
0.9.0,TODO: fix for pytorch 0.3,1
0.9.0,TODO: context gate should be employed,1
0.9.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.9.0,TODO: Find a better way to check for sparse gradients.,1
0.9.0,TODO: clean this up when APEX unify its optimizer API.,1
0.8.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.2,hack for python2/3 compatibility,1
0.8.2,hack for python2/3 compatibility,1
0.8.2,why is the model_opt.__dict__ check necessary?,1
0.8.2,TODO: fix for pytorch 0.3,1
0.8.2,TODO: context gate should be employed,1
0.8.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.2,TODO: Find a better way to check for sparse gradients.,1
0.8.2,TODO: clean this up when APEX unify its optimizer API.,1
0.8.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.1,hack for python2/3 compatibility,1
0.8.1,hack for python2/3 compatibility,1
0.8.1,this line is kind of a temporary kludge because different objects expect,1
0.8.1,why is the model_opt.__dict__ check necessary?,1
0.8.1,TODO: fix for pytorch 0.3,1
0.8.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.1,TODO: context gate should be employed,1
0.8.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.1,TODO: Find a better way to check for sparse gradients.,1
0.8.1,TODO: clean this up when APEX unify its optimizer API.,1
0.8.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.8.0,hack for python2/3 compatibility,1
0.8.0,hack for python2/3 compatibility,1
0.8.0,this line is kind of a temporary kludge because different objects expect,1
0.8.0,why is the model_opt.__dict__ check necessary?,1
0.8.0,TODO: fix for pytorch 0.3,1
0.8.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.0,TODO: context gate should be employed,1
0.8.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.8.0,TODO: Find a better way to check for sparse gradients.,1
0.8.0,TODO: clean this up when APEX unify its optimizer API.,1
0.7.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.7.2,hack for python2/3 compatibility,1
0.7.2,hack for python2/3 compatibility,1
0.7.2,this line is kind of a temporary kludge because different objects expect,1
0.7.2,why is the model_opt.__dict__ check necessary?,1
0.7.2,TODO: fix for pytorch 0.3,1
0.7.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.2,TODO: context gate should be employed,1
0.7.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.2,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.2,TODO: Find a better way to check for sparse gradients.,1
0.7.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.7.1,hack for python2/3 compatibility,1
0.7.1,hack for python2/3 compatibility,1
0.7.1,why is the model_opt.__dict__ check necessary?,1
0.7.1,this line is kind of a temporary kludge because different objects expect,1
0.7.1,TODO: fix for pytorch 0.3,1
0.7.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.1,TODO: context gate should be employed,1
0.7.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.1,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.1,TODO: Find a better way to check for sparse gradients.,1
0.7.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.7.0,hack for python2/3 compatibility,1
0.7.0,hack for python2/3 compatibility,1
0.7.0,why is the model_opt.__dict__ check necessary?,1
0.7.0,TODO: fix for pytorch 0.3,1
0.7.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.0,TODO: context gate should be employed,1
0.7.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.7.0,TODO: Find a better way to check for sparse gradients.,1
0.7.0,This is a hack. Something is broken with torch pickle.,1
0.7.0,TODO: faster code path for beam_size == 1.,1
0.6.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
0.6.0,hack for python2/3 compatibility,1
0.6.0,hack for python2/3 compatibility,1
0.6.0,TODO: fix for pytorch 0.3,1
0.6.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.6.0,TODO: context gate should be employed,1
0.6.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.6.0,TODO change the way attns is returned dict => list or tuple (onnx),1
0.6.0,Hack. Can't pickle defaultdict :(,1
